protein,ADOL,AGED,CHLD,INFT,MDAG
"hla_class_ii_histocompatibility_antigen,_dq_alpha_2_chain",0.0759601324851398,0.066115213277944,0.075768721322009,0.06267475098942986,0.07507507562686982
connective_tissue_growth_factor,0.05867259329316503,0.06943868966482526,0.053703523547384155,0.04889347387498977,0.074596637906359
gap_junction_gamma-2_protein,0.014092335030324936,0.008336526804403896,0.009122027861424697,0.009520145175289776,0.01280472506244497
plasma_serine_protease_inhibitor,0.035432525526791894,0.049322469576560585,0.03634496732719004,0.024466811465299807,0.05478906113241133
neurogenin-3,0.02953057713112184,0.02988941489131716,0.027353142465434962,0.028560618789423994,0.0371151525779369
"alpha-1,3-galactosyltransferase_2",0.0,0.0,0.009122512194247862,0.009520650646097334,0.0
segment_polarity_protein_dishevelled_homolog_dvl-3,0.0,0.019361817192301352,0.0,0.0,0.01876124863083675
anterior_gradient_protein_2_homolog,0.0,0.01667584555740257,0.0,0.0,0.016158896727772584
fructose-bisphosphate_aldolase_b,0.008890570811455065,0.0,0.014460380026234818,0.0,0.0
"acetyl-coenzyme_a_synthetase,_cytoplasmic",0.00887652146040125,0.04216619154141695,0.0,0.0,0.04315535806316111
zinc_finger_x-chromosomal_protein,0.0,0.0,0.0,0.0,0.008078829764618557
polycystin-1,0.02296553734240403,0.03175519823221925,0.021164604869600125,0.0246002314235412,0.03851664441213452
rrna_2'-o-methyltransferase_fibrillarin,0.0,0.008337093589256286,0.0,0.0,0.0
"actin,_aortic_smooth_muscle",0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
bile_salt_export_pump,0.04014246089852763,0.04042860493413322,0.04610633336454539,0.04950060829418083,0.04641035607528286
mhc_class_i_polypeptide-related_sequence_b,0.022983800828567946,0.026439838693725112,0.014453801307149341,0.009516789950224014,0.026850197394734123
amiloride-sensitive_sodium_channel_subunit_delta,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
cytochrome_b-245_light_chain,0.04578286544329702,0.06642742765958362,0.052075096593722794,0.044378261640524184,0.07209186008112145
glucose-6-phosphatase,0.06363646618837947,0.049280194783314565,0.072188481223359,0.07583298817314131,0.05895615434464436
interferon_beta,0.10109697446040579,0.08434273057026415,0.0608984673401967,0.050826947739622874,0.14323209273334747
prolyl_3-hydroxylase_1,0.014085596444164924,0.0,0.027384183327611458,0.03021713394358365,0.012798602177706361
protein_phosphatase_1_regulatory_subunit_3c,0.0,0.013214708096373689,0.0,0.0,0.012805172395967915
endothelin-1_receptor,0.036846189572446446,0.05400007631189627,0.031308893568915766,0.03500055865515635,0.05783376482691979
camp-dependent_protein_kinase_catalytic_subunit_alpha,0.0,0.0,0.0,0.0,0.008078829764618557
interferon_gamma_receptor_2,0.028187723058938855,0.02339606795295544,0.03031701526819745,0.019028173295556526,0.03436267586325096
forkhead_box_protein_n3,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
mitogen-activated_protein_kinase_1,0.033726276849267794,0.050775559667578456,0.02878554994554243,0.01893637695767417,0.053327477786940844
endothelin_b_receptor,0.02060363618832538,0.036648456597423065,0.033754839595131904,0.038991664013164125,0.0388946215841785
interleukin-1_receptor_accessory_protein,0.020631790924666778,0.026421916565083487,0.030323538108641992,0.01902897416443981,0.03660602124456664
granulocyte_colony-stimulating_factor_receptor,0.04776074323040435,0.052555559413980366,0.06018171723526016,0.05224277462861414,0.053179497929224114
solute_carrier_family_12_member_3,0.038476601668139536,0.03541983444093825,0.03374433914663694,0.024561710351636026,0.0425493189784045
phosphatidylinositol_3-kinase_catalytic_subunit_type_3,0.008890321779943675,0.01321434902222217,0.0,0.0,0.018760794048864847
endothelial_lipase,0.035454473368404724,0.04871512058324683,0.02345241466820271,0.021985353047964715,0.05355396324625759
receptor_activity-modifying_protein_2,0.0,0.01321350169161439,0.0,0.009519608612946963,0.022689781390229695
glycerol-3-phosphate_acyltransferase_3,0.00889051249954111,0.0,0.0,0.0,0.01876119651473471
e3_ubiquitin-protein_ligase_rnf216,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
von_hippel-lindau_disease_tumor_suppressor,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
nadh-ubiquinone_oxidoreductase_chain_1,0.029544414541520056,0.02884674203115681,0.02736617779172884,0.015075481377691696,0.034367601134629576
ephrin_type-a_receptor_1,0.0,0.019362884472551533,0.0,0.0,0.016158984086080627
ankyrin_repeat_domain-containing_protein_6,0.0,0.03775765390617519,0.014451750897407956,0.0,0.03657886683984096
low-density_lipoprotein_receptor-related_protein_8,0.020640833767675327,0.027709833754561198,0.01445234195913861,0.00951519360803851,0.03079109521138863
kallikrein-1,0.051389607434804856,0.06046869638648742,0.037483393993289864,0.03110049853871795,0.06647463732167658
thiopurine_s-methyltransferase,0.07129647359556088,0.060842127553070335,0.07073673172371117,0.05535066300407414,0.06698196387560351
neurobeachin,0.01409231066354335,0.0,0.014459837743741615,0.0,0.012804702922044662
nad-dependent_protein_deacetylase_sirtuin-6,0.008890642627273338,0.008336892374131549,0.009122427876601185,0.0,0.008078626916832747
radial_spoke_head_14_homolog,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
filamin-binding_lim_protein_1,0.0,0.030872593522665342,0.009119135548049644,0.0,0.030781871176227573
prepronociceptin,0.008890422890694943,0.008336686323761342,0.009122202411337052,0.00952032734317297,0.012804970080731622
beta-parvin,0.0,0.019360916400312272,0.0,0.0,0.018760557492822228
platelet-derived_growth_factor_receptor_alpha,0.06377446953212262,0.07155956580523004,0.05836532970184786,0.04841988299351078,0.07086643825256812
fibroblast_growth_factor_12,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
docking_protein_2,0.0,0.0,0.0,0.0,0.008078829764618557
prolyl_endopeptidase_fap,0.024779885805287442,0.05618036066270229,0.03134978927792349,0.01889539301613361,0.05824704467803995
t-box_transcription_factor_tbx4,0.008890534659429674,0.00833679113102346,0.009122317093960592,0.009520447030948731,0.008078528810096875
protein_cyr61,0.014087118150997644,0.027708077921068587,0.009118650953448068,0.009516620887196221,0.030788351436258354
urokinase_plasminogen_activator_surface_receptor,0.036923052654088837,0.057152582597568224,0.03630605875738399,0.026558955586629296,0.05462349297246095
protein_fem-1_homolog_a,0.026678479018728073,0.0,0.0,0.0,0.024239202103342284
collagen_alpha-2(i)_chain,0.00888961504670415,0.01936193754418895,0.0,0.0,0.020889184880841967
"thioredoxin_reductase_2,_mitochondrial",0.051358182020309,0.041573585485790904,0.056672376369633834,0.035082879485124514,0.044584642316100785
rhotekin-2,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
ring_finger_protein_11,0.0,0.013214708096373689,0.0,0.0,0.012805172395967915
e3_ubiquitin-protein_ligase_rnf213,0.01777560180924511,0.027710815031311585,0.025618060626182125,0.0,0.027963709470658602
glycoprotein-n-acetylgalactosamine_3-beta-galactosyltransferase_1,0.0436585004373511,0.041293642908437796,0.040660770430045505,0.02452420158801407,0.05100052518052709
phenylethanolamine_n-methyltransferase,0.024888810419115205,0.04517789295091936,0.02553936126269767,0.031574100927200636,0.04609401764842818
signal_peptide_peptidase-like_2c,0.014089047898167936,0.02341185400764274,0.0,0.0,0.027962989204669567
epidermal_growth_factor-like_protein_7,0.0,0.008335744648920855,0.0,0.0,0.0315875095718789
slam_family_member_7,0.0,0.021558150009286965,0.0,0.0,0.020888855625733123
platelet-derived_growth_factor_receptor_beta,0.05530253360306908,0.06277211985656589,0.0505064155018082,0.03654583929818017,0.06408199369282774
adenylate_cyclase_type_9,0.008890422890694943,0.008336686323761342,0.009122202411337052,0.00952032734317297,0.012804970080731622
transient_receptor_potential_cation_channel_subfamily_m_member_1,0.008890146636953361,0.013214088694119306,0.0091219189554679,0.009520031516294769,0.016159160086354867
trans-golgi_network_integral_membrane_protein_2,0.0,0.021556840302042815,0.0,0.0,0.01876009330145121
"39s_ribosomal_protein_l40,_mitochondrial",0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
fibulin-5,0.1353226090020021,0.07429296181917615,0.0917263823352453,0.03870188615575237,0.11671955915732096
fructosamine-3-kinase,0.008885832946571965,0.02771200663896766,0.0,0.0,0.03307362081675221
mitochondrial_inner_membrane_protease_subunit_2,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
"aldehyde_dehydrogenase_x,_mitochondrial",0.02064290514268743,0.02155098519445332,0.014453792298806934,0.015085121929209615,0.029925618767426842
"carbonic_anhydrase_5b,_mitochondrial",0.02064885631772133,0.016674242294491482,0.014457959204931784,0.0,0.018760100238159168
tnf_receptor-associated_factor_5,0.0,0.0,0.009122570110257047,0.0,0.008078752875914726
somatostatin_receptor_type_2,0.017775411399246547,0.02154816028436719,0.02358137081276116,0.0221041709468127,0.03079014868653109
"cdp-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase,_mitochondrial",0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
cd83_antigen,0.022985868219862034,0.0,0.0,0.0,0.020884969621350523
"hydroxyacyl-coenzyme_a_dehydrogenase,_mitochondrial",0.00888674378769429,0.008333236372274629,0.018242057908337973,0.0316791516148082,0.01615297490312083
multiple_inositol_polyphosphate_phosphatase_1,0.07966257657917376,0.0916745115766232,0.07432751442070291,0.0837164848860748,0.1143822690768306
niemann-pick_c1-like_protein_1,0.0,0.013214708096373689,0.0,0.0,0.012805172395967915
very-long-chain,0.06882865102083381,0.05666702610601592,0.08695131761539668,0.08646236344932139,0.0646861792683998
aurora_kinase_b,0.0444633236363843,0.04762556522226374,0.04606017450463731,0.03794179393430406,0.05115089767745217
epigen,0.017779339572795202,0.021555192550020613,0.0,0.019039799215166887,0.02424505125181414
centrosomal_protein_of_63_kda,0.0,0.01667502519479924,0.0,0.0,0.01615826730474123
laminin_subunit_alpha-2,0.0,0.0,0.01824853069685759,0.019044732692003182,0.0
homeodomain-interacting_protein_kinase_2,0.01408391223252871,0.03177975707391445,0.0,0.0,0.03235662415219281
peripheral_myelin_protein_22,0.05988501953536204,0.05582411952993068,0.06308130369405503,0.036520445566722334,0.0596063974182472
"alpha-n-acetylgalactosaminide_alpha-2,6-sialyltransferase_2",0.0,0.03336940173937332,0.0,0.0,0.032331388229512564
ribonuclease_t2,0.008890306680045458,0.013213698859982031,0.0,0.0,0.018761844450298985
proprotein_convertase_subtilisin/kexin_type_4,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
calcitonin,0.09582942600522679,0.14377496169850507,0.08307892175126627,0.06326033300899019,0.15789392363782112
vigilin,0.020635588249463304,0.028834658887640773,0.02117430274529377,0.015079774996417645,0.03806223550932702
homeobox_protein_hox-d13,0.0,0.013214708096373689,0.0,0.0,0.012805172395967915
legumain,0.020551396788064384,0.05553510674939066,0.023481419245555753,0.018953640447962817,0.0543695845332818
mothers_against_decapentaplegic_homolog_6,0.037705428704444634,0.05055920064924527,0.0302047227287856,0.026619551041401894,0.049848587152942825
baculoviral_iap_repeat-containing_protein_5,0.017781303373205593,0.019359075251119698,0.018245254207373284,0.0,0.024246327351303856
"39s_ribosomal_protein_l44,_mitochondrial",0.0,0.0,0.0,0.0,0.008078829764618557
14-3-3_protein_beta/alpha,0.0,0.021552801553118627,0.0,0.0,0.022684961041665064
rwd_domain-containing_protein_3,0.0,0.0,0.0,0.0,0.022683423860496356
allograft_inflammatory_factor_1,0.03814601955669354,0.05783039554391897,0.04159063088256377,0.03944151558287764,0.06060084075000027
interleukin-21_receptor,0.04962029902540242,0.052962009827106075,0.04045269088622857,0.014945374510996869,0.060514215275351294
peptidyl-prolyl_cis-trans_isomerase_fkbp4,0.043939551063266184,0.051840218050549024,0.03926227409054788,0.04232217449795061,0.056490722134126994
nuclear_transcription_factor_y_subunit_beta,0.0,0.0,0.01445970288801479,0.0,0.0
matrix_metalloproteinase-24,0.02298117818276021,0.026439647355603044,0.0,0.0,0.02561796127209869
l-xylulose_reductase,0.0,0.0,0.0,0.0,0.012805013096438524
platelet-derived_growth_factor_c,0.03282949713131058,0.04647637584801097,0.01818245867747927,0.035174221234415506,0.049520485579018565
glutathione-specific_gamma-glutamylcyclotransferase_1,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
trace_amine-associated_receptor_1,0.014091913477030232,0.013214041488208612,0.0,0.0,0.012804613921722472
neural_cell_adhesion_molecule_1,0.03634441826618171,0.035427118288991276,0.03729751673554593,0.03523594903322896,0.036573830305285854
vasopressin_v1a_receptor,0.01409041155049187,0.01935967189941106,0.009120782784821682,0.0,0.025621518696919855
25-hydroxycholesterol_7-alpha-hydroxylase,0.01778312204215489,0.008336097977848386,0.01445815335940401,0.00951965546402761,0.018760765598779074
s-phase_kinase-associated_protein_2,0.030680172460538238,0.04631446118342021,0.018176894685127582,0.009482393679520843,0.048878781738382365
anoctamin-6,0.0,0.0,0.0,0.0,0.008078829764618557
neuropilin-1,0.04288993341776113,0.05932371664237149,0.04034745321714431,0.0348798462780733,0.05938933704589223
"myosin_light_chain_kinase_2,_skeletal/cardiac_muscle",0.00889078742563151,0.0,0.0,0.0,0.00807875849021421
tetraspanin-8,0.0,0.028854308746194303,0.009119644289571644,0.009517657575994803,0.029916474346071014
general_transcription_factor_ii-i_repeat_domain-containing_protein_1,0.008890449263974634,0.00833671105439146,0.009122229472186523,0.0,0.016159010852547378
nad(p)h-hydrate_epimerase,0.0,0.01935847079212716,0.021183549074569714,0.0,0.020886298729715733
huntingtin,0.05740958185463754,0.07496882532574721,0.05097122562045516,0.023554769835145997,0.07739256840206446
p2x_purinoceptor_5,0.0383251540538223,0.050385666804271666,0.03142722943165428,0.024481979307049755,0.05218789558649568
b-cell_lymphoma/leukemia_11a,0.00889053085582394,0.008336787564323845,0.009122313191192204,0.0,0.012805125584048343
activin_receptor_type-2b,0.014091458069214637,0.013213424138242804,0.01824812525739829,0.009519552739964817,0.012803928228855389
b-cell_antigen_receptor_complex-associated_protein_beta_chain,0.0,0.00833646584362902,0.01824783093105529,0.015090061306252744,0.00807821359965844
lysosome-associated_membrane_glycoprotein_3,0.04062195841920996,0.05333950049972763,0.03545672290987055,0.02194860978531645,0.05566984329236162
interleukin-21,0.07945205077037738,0.08306727331124499,0.07256151022172452,0.05910302424442008,0.10753230577708858
growth/differentiation_factor_11,0.008888819887631962,0.02885719848914167,0.00912055761686706,0.0,0.026843468027063923
phosphatidylethanolamine_n-methyltransferase,0.02494801273237411,0.03723766069910781,0.014441926494679173,0.0,0.03851155259563811
n-acylglucosamine_2-epimerase,0.017777815705597208,0.013208126459300393,0.027381363140792418,0.00951618809672506,0.02992274217433789
protein-tyrosine_kinase_6,0.008888255038668507,0.026443216867373404,0.0,0.0,0.025622211015874453
dna-directed_rna_polymerase_ii_subunit_rpb2,0.0,0.0,0.0,0.0,0.008078829764618557
pituitary_homeobox_2,0.014082545617091526,0.026433894978668156,0.028936173612717747,0.019033989852072615,0.029917390297272663
syndecan-1,0.05940254592650551,0.09587940183315705,0.04988569330562842,0.04747360697380813,0.09809383545410343
dihydropyrimidinase-related_protein_3,0.0,0.013212420753934844,0.02118622281786674,0.022113297862556187,0.012802955940330424
guanine_nucleotide-binding_protein_subunit_alpha-13,0.0,0.0,0.02118406645012572,0.02210965602768904,0.0
chitinase-3-like_protein_2,0.0,0.04251139263961277,0.0,0.0,0.04152740173218514
secretin_receptor,0.008886293239533273,0.02770599386763527,0.014453422619686863,0.0,0.03553428314584637
gtp-binding_protein_rad,0.0,0.0,0.0,0.0,0.012805447106349411
latent-transforming_growth_factor_beta-binding_protein_4,0.0,0.019355966367903547,0.009119037024451467,0.01903925031576487,0.036072247089745414
galactokinase,0.04969541486042464,0.043976895359889044,0.05775079794772779,0.0653973891796323,0.04662584316946629
neuropeptide_s,0.03385617745333933,0.024972608943901287,0.040782213690626574,0.015058707193504802,0.041224654993373105
glucosylceramidase,0.07429313744071092,0.0597606340114204,0.07724824742246876,0.0644292714287229,0.06787580662326899
kit_ligand,0.06942785914001127,0.07579367584772087,0.06512346647571239,0.07767665941969797,0.08231258344762325
aldo-keto_reductase_family_1_member_c3,0.014088142187081452,0.026444400120804887,0.0,0.0,0.02685437225470076
synaptogyrin-1,0.0,0.0,0.0,0.0,0.008078829764618557
45_kda_calcium-binding_protein,0.014092090451102698,0.00833689821489607,0.0,0.0,0.008078632576658418
immunoglobulin_lambda-like_polypeptide_1,0.0,0.013214708096373689,0.0,0.0,0.012805172395967915
integrin_beta-1,0.026640586166941625,0.039258508938136226,0.03154795479217932,0.0220713965090969,0.04222222026930095
clusterin,0.06693148507370035,0.10080640341449888,0.06210894313249182,0.05902567782143875,0.1000777316246255
golgin_subfamily_a_member_2,0.0,0.0,0.009122348628168535,0.01509070228338545,0.008078556736116628
chitinase-3-like_protein_1,0.07401995641178523,0.1193971738057683,0.06049976104502186,0.04771137226830628,0.12691380170040079
"glycogen_phosphorylase,_muscle_form",0.059023138650419596,0.049733677927392334,0.055154463155682634,0.03481637987150963,0.05682082973117777
myelin-associated_glycoprotein,0.04339262936104249,0.06597453298662972,0.04538124126594392,0.036508144085978585,0.06516213115588879
e3_ubiquitin-protein_ligase_trim68,0.0,0.0,0.0,0.0,0.022683423860496356
gap_junction_beta-2_protein,0.06500568811797412,0.04643157121098905,0.07866694784915976,0.06941966751305938,0.05501263058358076
group_xiia_secretory_phospholipase_a2,0.01408764354311118,0.02643844823478134,0.00911899104197758,0.0,0.029923506822618743
leptin_receptor,0.07205829227031102,0.07175977837862887,0.06942602314060922,0.05518095382860747,0.0885320977834623
atp-dependent_dna_helicase_q1,0.0,0.036679254483025954,0.0,0.0,0.035530832541260375
chymotrypsin-like_elastase_family_member_1,0.06521466566209187,0.07497190602120342,0.06283749074059213,0.060444287429003624,0.07701357355312427
"fyve,_rhogef_and_ph_domain-containing_protein_1",0.0,0.0,0.009122622981627181,0.0,0.0
fibrinogen_gamma_chain,0.008877066201686705,0.029886624292170136,0.03378002332259824,0.02459403686314204,0.03936305313082586
cytochrome_p450_2f1,0.008890702810023778,0.0,0.009122489628357872,0.0,0.008078681602867043
fibroblast_growth_factor-binding_protein_1,0.0,0.04099505224309972,0.030283905952260024,0.0,0.04010130218274046
cytochrome_p450_2d6,0.05573914331719165,0.05895390933153029,0.048107543169601065,0.03564990938511487,0.06327219456852949
membrane_metallo-endopeptidase-like_1,0.022972947672023264,0.03087759948845023,0.014447940925155583,0.0,0.035554322608949786
myelin_regulatory_factor,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
growth_arrest-specific_protein_2,0.01409273567586481,0.0,0.0,0.0,0.012805089101191889
plasma_protease_c1_inhibitor,0.0989105698313755,0.09149320620025554,0.09037467504407877,0.061458295586940374,0.10553260595650063
myc_box-dependent-interacting_protein_1,0.008884666528550099,0.03178250128279631,0.009116295976819387,0.009514163131121581,0.032357305185041624
lysozyme_c,0.017773008196616303,0.026434125104930633,0.014449943821308011,0.02210118250392575,0.03374426026049313
annexin_a3,0.03373037389048462,0.051634911782071365,0.009070989228223046,0.01893893336156665,0.054832904269792794
protein_phosphatase_slingshot_homolog_1,0.0,0.028851489318357373,0.0,0.00951832797117561,0.03304120344533769
prosaposin_receptor_gpr37,0.00889053085582394,0.008336787564323845,0.009122313191192204,0.0,0.012805125584048343
ketohexokinase,0.01778328259207986,0.013213686017294262,0.0,0.0,0.01876177444809761
heat_shock_70_kda_protein_1b,0.04923192471944229,0.057059139832695095,0.04258120591147568,0.02433815062355788,0.06238974724739715
zinc_finger_protein_12,0.0,0.008336864679815573,0.009122397572815463,0.009520531022183308,0.008078600080448582
brca1-associated_protein,0.020602947168197563,0.042218120328139076,0.009100548433023433,0.0150559220218779,0.04378194681019907
alanine_aminotransferase_2,0.03291487294575168,0.0276767269714481,0.03566782156140172,0.035255743631232635,0.033034821634898466
synaptonemal_complex_protein_2-like,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
leptin,0.1347297466975729,0.13232403776331172,0.122604335034349,0.10235922590957611,0.1710781995673975
g-protein_coupled_bile_acid_receptor_1,0.008890642627273338,0.008336892374131549,0.009122427876601185,0.0,0.008078626916832747
solute_carrier_organic_anion_transporter_family_member_5a1,0.00889083895370241,0.0,0.0,0.0,0.0
cytohesin-2,0.0,0.0,0.0,0.0,0.02990472438775218
beta-arrestin-2,0.02816920505128867,0.03478884235351671,0.0,0.0095124982571762,0.03973190520536353
ribonuclease_inhibitor,0.008889311925607577,0.021557754705305368,0.00912106248261561,0.0,0.020888472594360007
gap_junction_beta-3_protein,0.01408473571211698,0.008332031316622808,0.02738040603236926,0.028580514826841985,0.027959277034149205
p2x_purinoceptor_3,0.0383251540538223,0.050385666804271666,0.03142722943165428,0.024481979307049755,0.05218789558649568
adenylate_cyclase_type_3,0.017781635705717766,0.019359700453683647,0.0,0.0,0.02424724218468835
serine/threonine-protein_kinase_dclk1,0.01408817449614653,0.02502247923637318,0.0,0.0,0.027970561455492895
sh3_domain-containing_kinase-binding_protein_1,0.0,0.0,0.0,0.0,0.008078829764618557
glucose-6-phosphate_1-dehydrogenase,0.026672010884317043,0.027697818395854026,0.027367540239862532,0.030198107254270235,0.028968292350583486
gata_zinc_finger_domain-containing_protein_1,0.008890727241735511,0.008336971718414523,0.0,0.0,0.008078703803138984
endoribonuclease_zc3h12a,0.0,0.03410687421112709,0.0,0.0,0.03304434436905211
peroxisomal_acyl-coenzyme_a_oxidase_2,0.0,0.0,0.021187450561362176,0.0,0.0
calcium_and_integrin-binding_protein_1,0.02061816909106464,0.03975894320297218,0.014437455604816844,0.0,0.03975607993528645
anthrax_toxin_receptor_2,0.017776440472856894,0.0,0.02893723246647023,0.02674403782172352,0.022679874088325867
"10_kda_heat_shock_protein,_mitochondrial",0.04067550015048312,0.05007848656711941,0.037905296772468546,0.018939277976971324,0.05521027554898321
c-x-c_motif_chemokine_9,0.026606277281849878,0.04454856569809617,0.025542938998861123,0.028502698611759088,0.04701001015180816
natriuretic_peptides_a,0.017776061574907243,0.03337679913747886,0.018239781051619764,0.0,0.03233647951222785
beta-enolase,0.03632370596365519,0.03770222141384422,0.04295074702899277,0.03717543091224589,0.045010195445430994
zinc_finger_and_btb_domain-containing_protein_16,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
star-related_lipid_transfer_protein_3,0.0,0.03722349621289382,0.0,0.02459531943155898,0.04155159371586724
"4-aminobutyrate_aminotransferase,_mitochondrial",0.05572872030716475,0.04553853380799138,0.05378810445294234,0.053879713771714854,0.05428546662092173
swi/snf_complex_subunit_smarcc1,0.008890484923944085,0.013214591515330481,0.0,0.0,0.012805059427876188
equilibrative_nucleoside_transporter_2,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
pra1_family_protein_3,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
sulfotransferase_1a1,0.0318013836386354,0.04853956569627067,0.030222917913678753,0.015034673678753519,0.04629211626307914
outer_dense_fiber_protein_1,0.0,0.0,0.0,0.0,0.012805447106349411
furin,0.04606156844633407,0.05854455894294826,0.03838649361400187,0.014900200924979849,0.06335197453863388
membrane_cofactor_protein,0.045624686192498626,0.045262583384285474,0.04903698079653373,0.042374641540116685,0.05014206616560811
myosin-6,0.014091426015268622,0.01667555142932091,0.0,0.0,0.016158611717619425
regulator_of_g-protein_signaling_6,0.0,0.01321449149581427,0.0,0.0,0.016159652661909843
cytochrome_p450_2a13,0.00889067565054135,0.0,0.0,0.0,0.012805334133410626
interferon_regulatory_factor_2,0.03547267437396434,0.04907066947275886,0.0302028513261936,0.0,0.053212455158023086
early_activation_antigen_cd69,0.01777615633477473,0.026437350486257886,0.009117385170795826,0.015083776674030961,0.03235769872853627
alpha-protein_kinase_1,0.0,0.0,0.0,0.0,0.012805447106349411
"fumarate_hydratase,_mitochondrial",0.028120774927536257,0.02148671794098741,0.04131049788528415,0.05311665920780645,0.0241696100667837
charged_multivesicular_body_protein_4b,0.01408952683144318,0.031749206497841194,0.014456981309375713,0.0,0.03157781813721353
nuclear_receptor_subfamily_1_group_i_member_2,0.042530405509148876,0.0544014356830891,0.034423666032411336,0.034923497396411936,0.05971142928338078
synaptotagmin-14,0.0,0.0,0.0,0.0,0.008078829764618557
platelet_glycoprotein_vi,0.0,0.026444618554191248,0.0,0.0,0.025623177505329598
cyclin-i,0.0,0.02769822457819595,0.0,0.0,0.031585803256013546
hemoglobin_subunit_zeta,0.0407574581536192,0.023310343470259752,0.044842828576824256,0.053672515095979374,0.03360119198873526
rap_guanine_nucleotide_exchange_factor_3,0.017780945559972706,0.019359441867071645,0.01824465909363811,0.0,0.02088686883882734
"myosin-binding_protein_c,_cardiac-type",0.0249642788660238,0.013211579604115108,0.025616021108146616,0.0,0.02424086507023688
rap1_gtpase-activating_protein_2,0.014092104209919173,0.0,0.0,0.0,0.012804787231117897
septin-4,0.0,0.019362358671639972,0.0,0.0,0.012804754151690087
tumor_suppressor_candidate_3,0.0,0.008336803805029182,0.0,0.0,0.016159889941789907
growth/differentiation_factor_2,0.02297322910585485,0.030857301582101624,0.018233142711846447,0.0,0.04049425817222408
sorbin_and_sh3_domain-containing_protein_2,0.01408231973491242,0.03606704984148307,0.009115544918491763,0.009513379293972352,0.037585102415361706
60_kda_ss-a/ro_ribonucleoprotein,0.014090590530046136,0.013212610655143068,0.00912089863904152,0.02462228252121952,0.012803139956329248
lithostathine-1-alpha,0.03379822193970911,0.04625141152663592,0.027295950905109303,0.026658262795229898,0.04760870753650867
26s_proteasome_non-atpase_regulatory_subunit_10,0.038210894797664575,0.05551167990750086,0.03987273976647881,0.0339135848537372,0.06060517948743091
